No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
384,140,140,4,2100,366,33.4,1011,,,,,
385,140,140,4,2101,366,10,716,,,,,
386,140,140,5,2100,362,33.4,1248,,,,,
387,140,140,5,2100,362,10,1005,,,,,
388,90,150,3,2250,320,33.4,691,,,,,
389,90,150,3,2251,320,33.4,638,,,,,
390,90,150,3,2252,320,10,503,,,,,
391,90,150,3,2253,320,10,491,,,,,
392,90,150,3,2254,320,10,515,,,,,
393,90,150,3,2255,320,10,492,,,,,
394,90,150,3,2256,320,33.4,738,,,,,
395,90,150,3,2257,320,33.4,625,,,,,
396,100,100,2,2500,240,33.5,350,,,,,
397,100,100,2,2501,240,33.5,360,,,,,
398,100,100,2,2502,240,33.5,396,,,,,
399,100,100,2,2503,240,33.5,342,,,,,
400,100,100,2,2504,240,10,261,,,,,
401,100,100,2,2505,240,10,240,,,,,
402,100,100,2,2506,240,10,265,,,,,
403,100,100,2,2507,240,10,243,,,,,
404,200,200,3,2310,303.5,46.8,1986,,,,,
405,200,200,3,2311,303.5,46.8,2045,,,,,
406,200,200,3,2312,303.5,46.8,2280,,,,,
407,200,200,3,2313,303.5,46.8,2173,,,,,
408,200,200,3,2314,303.5,46.8,2258,,,,,
409,150.2,150.2,2.91,1110,319.3,68.5,2352,,,,,
410,149.5,149.5,2.89,2200,319.3,68.5,2077,,,,,
411,151.4,151.4,4.77,1085,316.6,68.5,2597,,,,,
412,150,150,4.9,2201,316.6,68.5,2381,,,,,
413,134.9,175.7,2.91,993,319.3,68.5,2401,,,,,
414,136.3,176.5,2.91,1980,319.3,68.5,2283,,,,,
415,124.6,199.3,2.92,921,319.3,68.5,2636,,,,,
416,125.9,199.9,2.9,1829,319.3,68.5,2303,,,,,
417,150.1,150.1,2.02,1050,217.48,25.9,800,,,,,
418,147.8,147.8,2.02,1050,217.48,25.9,650,,,,,
419,149.5,149.5,4.31,1050,245.54,40.7,1405,,,,,
420,149.1,149.1,4.31,1050,245.54,40.7,1435,,,,,
421,151,151,6.92,1050,292.31,25.9,1640,,,,,
422,151.6,151.6,6.92,1050,292.31,25.9,1735,,,,,
423,151,151,2.02,1550,217.48,34.6,800,,,,,
424,150.2,150.2,2.02,1550,217.48,34.6,850,,,,,
425,151,151,4.31,1550,245.54,35.4,1250,,,,,
426,149.8,149.8,4.31,1550,245.54,39,1350,,,,,
427,150,150,6.92,1550,292.31,25.9,1700,,,,,
428,149.7,149.7,6.92,1550,292.31,25.9,1700,,,,,
429,148.7,148.7,4.31,2050,245.54,25.4,1080,,,,,
430,147.2,147.2,4.31,2050,245.54,35.4,1150,,,,,
431,149.3,149.3,2.02,2550,217.48,25.9,680,,,,,
432,148.2,148.2,2.02,2550,217.48,25.9,600,,,,,
433,148.7,148.7,4.31,2550,245.54,39,1200,,,,,
